Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Randwick City Council,Coogee Beach,06/08/2024,09:07:00,15,-33.920760000,151.258170000
Sydney City,Waverley Council,Bondi Beach,06/08/2024,07:54:00,15,-33.891157000,151.278267000
Sydney City,Randwick City Council,Gordons Bay (East),06/08/2024,08:49:00,15,-33.915646000,151.264558000
Sydney City,Randwick City Council,Little Bay Beach,06/08/2024,10:24:00,16,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,06/08/2024,09:39:00,15,-33.953515000,151.258009000
Sydney City,Waverley Council,Tamarama Beach,06/08/2024,08:10:00,15,-33.900805000,151.270734000
Sydney City,Randwick City Council,South Maroubra Rockpool,30/07/2024,09:02:00,14,-33.953515000,151.258009000
Sydney City,Randwick City Council,Coogee Beach,30/07/2024,08:21:00,15,-33.920760000,151.258170000
Sydney City,Randwick City Council,Malabar Beach,30/07/2024,09:14:00,15,-33.964360000,151.252247000
Sydney City,Waverley Council,Bronte Beach,30/07/2024,07:45:00,14,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Beach,30/07/2024,08:51:00,15,-33.951378000,151.257322000
Sydney City,Waverley Council,Bondi Beach,30/07/2024,07:19:00,14,-33.891157000,151.278267000
Sydney City,Randwick City Council,Gordons Bay (East),30/07/2024,08:08:00,14,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,30/07/2024,08:00:00,15,-33.914578000,151.267659000
Sydney City,Randwick City Council,Little Bay Beach,30/07/2024,09:30:00,15,-33.979882000,151.251417000
Sydney City,Waverley Council,Tamarama Beach,30/07/2024,07:34:00,14,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,30/07/2024,08:39:00,14,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),24/07/2024,08:06:00,15,-33.915646000,151.264558000
Sydney City,Waverley Council,Bronte Beach,24/07/2024,07:47:00,14,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,24/07/2024,08:01:00,15,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,24/07/2024,08:21:00,15,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Rockpool,24/07/2024,08:56:00,14,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,24/07/2024,08:54:00,14,-33.951378000,151.257322000
Sydney City,Randwick City Council,Maroubra Beach,24/07/2024,08:45:00,14,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,24/07/2024,07:31:00,14,-33.900805000,151.270734000
Sydney City,Randwick City Council,Little Bay Beach,24/07/2024,09:31:00,14,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,24/07/2024,07:13:00,14,-33.891157000,151.278267000
Sydney City,Randwick City Council,Malabar Beach,24/07/2024,09:16:00,14,-33.964360000,151.252247000
Sydney City,Waverley Council,Bronte Beach,18/07/2024,07:50:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Gordons Bay (East),18/07/2024,08:10:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,18/07/2024,08:01:00,15,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Rockpool,18/07/2024,08:51:00,15,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,18/07/2024,08:57:00,15,-33.951378000,151.257322000
Sydney City,Randwick City Council,Maroubra Beach,18/07/2024,08:43:00,15,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,18/07/2024,07:38:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,18/07/2024,08:24:00,15,-33.920760000,151.258170000
Sydney City,Waverley Council,Bondi Beach,18/07/2024,07:24:00,15,-33.891157000,151.278267000
